"","STUDY_ID.1","STUDY_ID","REVIEWERS","INCLUDE.x","INCLUDE.1","TITLE","AU","PY","ABSTRACT","X","dec","INCLUDE.y"
"92",225,161,"EmilyD","YES","MAYBE","Exotic fish in exotic plantations: a multi-scale approach to understand amphibian occurrence in the mediterranean region","CRUZ JOANA;SARMENTO PEDRO;CARRETERO MIGUEL A;WHITE PIRAN C L",2015,"globally, amphibian populations are threatened by a diverse range of factors including habitat destruction and alteration. forestry practices have been linked with low diversity and abundance of amphibians. the effect of exotic eucalyptus spp. plantations on amphibian communities has been studied in a number of biodiversity hotspots, but little is known of its impact in the mediterranean region. here, we identify the environmental factors influencing the presence of six species of amphibians (the caudata pleurodeles waltl, salamandra salamandra, lissotriton boscai, triturus marmoratus and the anurans pelobates cultripes and hyla arborea/meridionalis) occupying 88 ponds. the study was conducted in a mediterranean landscape dominated by eucalypt plantations alternated with traditional use (agricultural, montados and native forest) at three different scales: local (pond), intermediate (400 metres radius buffer) and broad (1000 metres radius buffer). using the akaike information criterion for small samples (aicc), we selected the top-ranked models for estimating the probability of occurrence of each species at each spatial scale separately and across all three spatial scales, using a combination of covariates from the different magnitudes. models with a combination of covariates at the different spatial scales had a stronger support than those at individual scales. the presence of predatory fish in a pond had a strong effect on caudata presence. permanent ponds were selected by hyla arborea/meridionalis over temporary ponds. species occurrence was not increased by a higher density of streams, but the density of ponds impacted negatively on lissotriton boscai. the proximity of ponds occupied by their conspecifics had a positive effect on the occurrence of lissotriton boscai and pleurodeles waltl. eucalypt plantations had a negative effect on the occurrence of the newt lissotriton boscai and anurans hyla arborea/meridionalis, but had a positive effect on the presence of salamandra salamandra, while no effect on any of the other species was detected. in conclusion, eucalypts had limited effects on the amphibian community at the intermediate and broad scales, but predatory fish had a major impact when considering all the scales combined. the over-riding importance of introduced fish as a negative impact suggests that forest managers should prevent new fish introductions and eradicate fish from already-occupied ponds whenever possible.",46,1,2
"93",225,161,"Anna","NO","MAYBE","Exotic fish in exotic plantations: a multi-scale approach to understand amphibian occurrence in the mediterranean region","CRUZ JOANA;SARMENTO PEDRO;CARRETERO MIGUEL A;WHITE PIRAN C L",2015,"Globally, amphibian populations are threatened by a diverse range of factors including habitat destruction and alteration. Forestry practices have been linked with low diversity and abundance of amphibians. The effect of exotic eucalyptus spp. Plantations on amphibian communities has been studied in a number of biodiversity hotspots, but little is known of its impact in the mediterranean region. Here, we identify the environmental factors influencing the presence of six species of amphibians (the caudata pleurodeles waltl, salamandra salamandra, lissotriton boscai, triturus marmoratus and the anurans pelobates cultripes and hyla arborea/meridionalis) occupying 88 ponds. The study was conducted in a mediterranean landscape dominated by eucalypt plantations alternated with traditional use (agricultural, montados and native forest) at three different scales: local (pond), intermediate (400 metres radius buffer) and broad (1000 metres radius buffer). Using the akaike information criterion for small samples (aicc), we selected the top-ranked models for estimating the probability of occurrence of each species at each spatial scale separately and across all three spatial scales, using a combination of covariates from the different magnitudes. Models with a combination of covariates at the different spatial scales had a stronger support than those at individual scales. The presence of predatory fish in a pond had a strong effect on caudata presence. Permanent ponds were selected by hyla arborea/meridionalis over temporary ponds. Species occurrence was not increased by a higher density of streams, but the density of ponds impacted negatively on lissotriton boscai. The proximity of ponds occupied by their conspecifics had a positive effect on the occurrence of lissotriton boscai and pleurodeles waltl. Eucalypt plantations had a negative effect on the occurrence of the newt lissotriton boscai and anurans hyla arborea/meridionalis, but had a positive effect on the presence of salamandra salamandra, while no effect on any of the other species was detected. In conclusion, eucalypts had limited effects on the amphibian community at the intermediate and broad scales, but predatory fish had a major impact when considering all the scales combined. The over-riding importance of introduced fish as a negative impact suggests that forest managers should prevent new fish introductions and eradicate fish from already-occupied ponds whenever possible.",NA,0,2
"115",311,167,"Anna","YES","MAYBE","Human trampling effects on mediterranean coastal dune plants","FARRIS E;PISANU S;CECCHERELLI G;FILIGHEDDU R",2013,"Coastal habitats are particularly vulnerable to recreational impacts because these environments are highly dynamic and continually change in response to biotic and abiotic factors. Sand dune communities are worldwide characterized by high levels of biodiversity, but are often affected by human-induced impacts as those caused by tourist trampling. To understand the effects of human frequentation, trampling, and other human-induced impacts, fencing experiments have been traditionally carried out on coastal dunes. Since in touristic areas dune systems are subjected to different intensities of human frequentations rather than to opening or fencing, in this study we explore the effects of accessibility on vascular plants cover. This study tests the hypothesis that human frequentation on beaches affects spatio-temporal variability of vascular plant abundance on dunes by comparing the plant assemblages of high and low accessible sites in north-east sardinia (italy). Our results show that accessibility plays a crucial role in conditioning the percentage of vegetation cover in mediterranean dunes. In fact, not only we found a perennial vegetation cover that was significantly higher in the sites with low accessibility (and consequently low frequentation), but we also showed that at the sites with high accessibility there were significant differences in vegetation cover between times of sampling (cover was higher before than after summer): on the contrary, differences in perennial vegetation cover among times were not significant at the low frequentation sites. After summer, the difference among low and high frequentation sites in species composition and cover was >90%. Multivariate analysis identified those species that play a pivotal role in differentiating the low and the high frequentation sites. Among them, crucianella maritima and sporobolus virginicus can be considered as differential species. Overall, our data show vegetation and plant species responses to human-induced impacts, and are therefore important to support conservation actions in mediterranean coastal areas interested by mass tourism.",NA,1,3
"116",311,167,"Ming","YES","MAYBE","Human trampling effects on mediterranean coastal dune plants","FARRIS E;PISANU S;CECCHERELLI G;FILIGHEDDU R",2013,"coastal habitats are particularly vulnerable to recreational impacts because these environments are highly dynamic and continually change in response to biotic and abiotic factors. sand dune communities are worldwide characterized by high levels of biodiversity, but are often affected by human-induced impacts as those caused by tourist trampling. to understand the effects of human frequentation, trampling, and other human-induced impacts, fencing experiments have been traditionally carried out on coastal dunes. since in touristic areas dune systems are subjected to different intensities of human frequentations rather than to opening or fencing, in this study we explore the effects of accessibility on vascular plants cover. this study tests the hypothesis that human frequentation on beaches affects spatio-temporal variability of vascular plant abundance on dunes by comparing the plant assemblages of high and low accessible sites in north-east sardinia (italy). our results show that accessibility plays a crucial role in conditioning the percentage of vegetation cover in mediterranean dunes. in fact, not only we found a perennial vegetation cover that was significantly higher in the sites with low accessibility (and consequently low frequentation), but we also showed that at the sites with high accessibility there were significant differences in vegetation cover between times of sampling (cover was higher before than after summer): on the contrary, differences in perennial vegetation cover among times were not significant at the low frequentation sites. after summer, the difference among low and high frequentation sites in species composition and cover was >90%. multivariate analysis identified those species that play a pivotal role in differentiating the low and the high frequentation sites. among them, crucianella maritima and sporobolus virginicus can be considered as differential species. overall, our data show vegetation and plant species responses to human-induced impacts, and are therefore important to support conservation actions in mediterranean coastal areas interested by mass tourism.",47,1,3
"117",311,167,"EmilyD","YES","MAYBE","Human trampling effects on mediterranean coastal dune plants","FARRIS E;PISANU S;CECCHERELLI G;FILIGHEDDU R",2013,"coastal habitats are particularly vulnerable to recreational impacts because these environments are highly dynamic and continually change in response to biotic and abiotic factors. sand dune communities are worldwide characterized by high levels of biodiversity, but are often affected by human-induced impacts as those caused by tourist trampling. to understand the effects of human frequentation, trampling, and other human-induced impacts, fencing experiments have been traditionally carried out on coastal dunes. since in touristic areas dune systems are subjected to different intensities of human frequentations rather than to opening or fencing, in this study we explore the effects of accessibility on vascular plants cover. this study tests the hypothesis that human frequentation on beaches affects spatio-temporal variability of vascular plant abundance on dunes by comparing the plant assemblages of high and low accessible sites in north-east sardinia (italy). our results show that accessibility plays a crucial role in conditioning the percentage of vegetation cover in mediterranean dunes. in fact, not only we found a perennial vegetation cover that was significantly higher in the sites with low accessibility (and consequently low frequentation), but we also showed that at the sites with high accessibility there were significant differences in vegetation cover between times of sampling (cover was higher before than after summer): on the contrary, differences in perennial vegetation cover among times were not significant at the low frequentation sites. after summer, the difference among low and high frequentation sites in species composition and cover was >90%. multivariate analysis identified those species that play a pivotal role in differentiating the low and the high frequentation sites. among them, crucianella maritima and sporobolus virginicus can be considered as differential species. overall, our data show vegetation and plant species responses to human-induced impacts, and are therefore important to support conservation actions in mediterranean coastal areas interested by mass tourism.",47,1,3
"142",370,171,"EmilyD","NO","MAYBE","Expansion and population dynamics of a non-native invasive species: the 40-year history of american mink colonisation of poland","BRZEZINSKI MARCIN;ZMIHORSKI MICHAL;ZARZYCKA ALEKSANDRA;ZALEWSKI ANDRZEJ",2019,"the american mink, an invasive mammal introduced to europe, severely impacts native biodiversity. the history of its invasion has been poorly investigated in central and eastern europe, and the current variations in densities of mink populations are not well studied, thus making a reduction of its impact difficult. here we analyse the temporal dynamics and spatial distribution of the american mink population in poland, which began to establish itself at the beginning of the 1980s and originated from polish farm escapees and immigrants from lithuania and belarus. mink dispersal started in the north and continued to the south and in 2016 mink occurrence was recorded across ca. 75% of the country. by about 1997 mink had colonised half of poland, and in 2016 the only mink-free area was in the south and south-east of the country. the rate of expansion showed accelerating and decelerating patterns, and reached its maximum 12years after the beginning of the expansion. mink farming in western poland developed rapidly after 2000 and probably influenced acceleration of mink range expansion rates in years 2006-2008. indices of mink densities showed significant nonlinear change over time since local populations were established and were highest in populations estimated to be 10-15years old. the prediction of non-native species invasion rates and population dynamics should be incorporated into management actions curbing their negative impact on native fauna.",48,0,2
"143",370,171,"Anna","YES","MAYBE","Expansion and population dynamics of a non-native invasive species: the 40-year history of american mink colonisation of poland","BRZEZINSKI MARCIN;ZMIHORSKI MICHAL;ZARZYCKA ALEKSANDRA;ZALEWSKI ANDRZEJ",2019,"The american mink, an invasive mammal introduced to europe, severely impacts native biodiversity. The history of its invasion has been poorly investigated in central and eastern europe, and the current variations in densities of mink populations are not well studied, thus making a reduction of its impact difficult. Here we analyse the temporal dynamics and spatial distribution of the american mink population in poland, which began to establish itself at the beginning of the 1980s and originated from polish farm escapees and immigrants from lithuania and belarus. Mink dispersal started in the north and continued to the south and in 2016 mink occurrence was recorded across ca. 75% of the country. By about 1997 mink had colonised half of poland, and in 2016 the only mink-free area was in the south and south-east of the country. The rate of expansion showed accelerating and decelerating patterns, and reached its maximum 12years after the beginning of the expansion. Mink farming in western poland developed rapidly after 2000 and probably influenced acceleration of mink range expansion rates in years 2006-2008. Indices of mink densities showed significant nonlinear change over time since local populations were established and were highest in populations estimated to be 10-15years old. The prediction of non-native species invasion rates and population dynamics should be incorporated into management actions curbing their negative impact on native fauna.",NA,1,2
"144",370,171,"Ming","YES","MAYBE","Expansion and population dynamics of a non-native invasive species: the 40-year history of american mink colonisation of poland","BRZEZINSKI MARCIN;ZMIHORSKI MICHAL;ZARZYCKA ALEKSANDRA;ZALEWSKI ANDRZEJ",2019,"the american mink, an invasive mammal introduced to europe, severely impacts native biodiversity. the history of its invasion has been poorly investigated in central and eastern europe, and the current variations in densities of mink populations are not well studied, thus making a reduction of its impact difficult. here we analyse the temporal dynamics and spatial distribution of the american mink population in poland, which began to establish itself at the beginning of the 1980s and originated from polish farm escapees and immigrants from lithuania and belarus. mink dispersal started in the north and continued to the south and in 2016 mink occurrence was recorded across ca. 75% of the country. by about 1997 mink had colonised half of poland, and in 2016 the only mink-free area was in the south and south-east of the country. the rate of expansion showed accelerating and decelerating patterns, and reached its maximum 12years after the beginning of the expansion. mink farming in western poland developed rapidly after 2000 and probably influenced acceleration of mink range expansion rates in years 2006-2008. indices of mink densities showed significant nonlinear change over time since local populations were established and were highest in populations estimated to be 10-15years old. the prediction of non-native species invasion rates and population dynamics should be incorporated into management actions curbing their negative impact on native fauna.",48,1,2
"145",372,172,"EmilyD","YES","MAYBE","Effects of two types of artificial interferences on plant diversity of urban landscape forests.","WU SISI;LU XIAOZHEN;WANG XINYUE;GE ZHIWEI",2019,"objective: urbanization has a great impact on urban forest ecosystems and has become a hot topic in urban ecology, with researchers striving to understand the dynamics of biodiversity in urban communities. accordingly, the aim of the present study was to investigate the influence of tourist activities and urban garden management on plant species diversity and to develop a theoretical basis for the maintenance of the quanshan reserve. method: in june 2018, field surveys were conducted in 54 plots that were established in the quanshan, taishan and yunlong mountains in the quanshan reserve. result: increases in artificial disturbance were related to reductions in species diversity. however, tourist activity and urban gardening affected the species diversity of different vertical layers differently, and tourist activity significantly affected species diversity (p<0.05), whereas urban gardening did not (p>0.05). in addition, neither type of disturbances had a significant effect on species richness (p>0.05), and both had significant effects on uniformity (p<0.05). these two types of artificial disturbance (tourist activity and urban gardening) had different effects on different community layers. increase in tourist activity reduced the number of species in the arbor layer, whereas increase in urban gardening activity increased the number of species in the shrub layer. in addition, tourist activity significantly affected species diversity, with the lowest species diversity observed under intermediate disturbance, whereas urban gardening had no such effect. furthermore, neither type of disturbance had a significant effect on species richness, and both had significant effects on uniformity. interestingly, uniformity decreased and then increased with increasing tourist activity but exhibited a positive linear correlation with urban gardening. conclusion: in this study, two types of human interferences were investigated to explore the effects on plant diversity in urban landscape forest communities, and the results showed that the interference of tourist activities had a more direct and significant impact on the distribution pattern of plant diversity, which could guide the protection of quanshan reserve.",49,1,3
"146",372,172,"Anna","YES","MAYBE","Effects of two types of artificial interferences on plant diversity of urban landscape forests.","WU SISI;LU XIAOZHEN;WANG XINYUE;GE ZHIWEI",2019,"Objective: urbanization has a great impact on urban forest ecosystems and has become a hot topic in urban ecology, with researchers striving to understand the dynamics of biodiversity in urban communities. Accordingly, the aim of the present study was to investigate the influence of tourist activities and urban garden management on plant species diversity and to develop a theoretical basis for the maintenance of the quanshan reserve. Method: in june 2018, field surveys were conducted in 54 plots that were established in the quanshan, taishan and yunlong mountains in the quanshan reserve. Result: increases in artificial disturbance were related to reductions in species diversity. However, tourist activity and urban gardening affected the species diversity of different vertical layers differently, and tourist activity significantly affected species diversity (p<0.05), whereas urban gardening did not (p>0.05). In addition, neither type of disturbances had a significant effect on species richness (p>0.05), and both had significant effects on uniformity (p<0.05). These two types of artificial disturbance (tourist activity and urban gardening) had different effects on different community layers. Increase in tourist activity reduced the number of species in the arbor layer, whereas increase in urban gardening activity increased the number of species in the shrub layer. In addition, tourist activity significantly affected species diversity, with the lowest species diversity observed under intermediate disturbance, whereas urban gardening had no such effect. Furthermore, neither type of disturbance had a significant effect on species richness, and both had significant effects on uniformity. Interestingly, uniformity decreased and then increased with increasing tourist activity but exhibited a positive linear correlation with urban gardening. Conclusion: in this study, two types of human interferences were investigated to explore the effects on plant diversity in urban landscape forest communities, and the results showed that the interference of tourist activities had a more direct and significant impact on the distribution pattern of plant diversity, which could guide the protection of quanshan reserve.",NA,1,3
